,,,,Pump Price Rs/ Liter,,,,,
S.No,Customer Name,Address,City/Location,HSD,PMG,District,District 1,Province,Province
3656,BANNU MIRAN SHAH F/S,LHR /SRG/MIANWALI ROAD NEAR SHADIA,,127.75,117.09,MIANWALI,MIANWALI,Punjab,KPK
3661,MUJAHID-E-MILLAT,ROKRI CHOWK,,127.75,117.09,MIANWALI,MIANWALI,Punjab,KPK
3663,M. SALEEM F/S,KALA BAGH- BANNU ROAD,,127.75,117.09,MIANWALI,MIANWALI,Punjab,Punjab
3696,AL-HAMD FILLING STATION,CHACK NO 19-B M M ROAD PIPLAN MIANWALI,,127.75,117.09,MIANWALI,MIANWALI,Punjab,Punjab
3712,SHAN-E-HAIDER F/S,"TEHSIL, PIPLAN MM ROAD",,127.75,117.09,MIANWALI,MIANWALI,Punjab,Punjab
3714,DARAZ KHEL FILLING STATION,"MANDA KHEL, BANNU ROAD KAMAR MUSHANI ISA KHEL",,127.82,117.16,MIANWALI,MIANWALI,Punjab,Punjab
3720,HAFIZ F/S,ON PIPLAN HARNOLI ROAD AT HAFIZ WALA,,127.75,117.09,MIANWALI,MIANWALI,Punjab,Punjab
3739,KHAN F/S.,KM-24/25 M M ROAD DHOONAWALA MIANWALI,,127.75,117.09,MIANWALI,MIANWALI,Punjab,Punjab
8837,SARAJIA FILLING STATION,"MOZA KUNDIA MIANWALI ROAD,MIANWALI",,129.29,118.63,MIANWALI,MIANWALI,Punjab,Punjab
9965,Al-Kundi Filling Station Kundian,,Mianwali,127.75,117.09,MIANWALI,MIANWALI,Punjab,Punjab
9966,Bilal Petroleum Service Musa Khel,,Musakheil,128.89,118.23,MIANWALI,MIANWALI,Punjab,Punjab
9967,Bilal Petroleum Services Mianwali,,Mianwali,128.73,118.07,MIANWALI,MIANWALI,Punjab,Punjab
9968,New Khan Petroleum Services Mianwali,,Mianwali,129.04,118.38,MIANWALI,MIANWALI,Punjab,Punjab
9969,Rawalpindi Filling Station Musa Khel,,Musakheil,127.75,117.09,MIANWALI,MIANWALI,Punjab,Punjab
189,GUNJIRA PETROLEUM SERVICE,"Mouza Wan Bachran Shamalia, B/W Km 1-2 From Wan Bachran, Mianwali",Mianwali,87.47,78.83,MIANWALI,MIANWALI,Punjab,Punjab
284,MALIK PETROLEUM SERVICE,"Mouza Shadia (Janobi), 32-33 From Mianwali On Sargodha-Mianwali Rd, Teh. Mianwali",Mianwali,86.86,78.28,MIANWALI,MIANWALI,Punjab,Punjab
472,Imran Filling Station,,Mianwali,126.01,114.99,MIANWALI,MIANWALI,Punjab,Punjab
6906,GUNJIRA PETROLEUM SERVICE,"Mouza Wan Bachran Shamalia, B/W Km 1-2 From Wan Bachran, Mianwali",Mianwali,128.85,118.19,MIANWALI,MIANWALI,Punjab,Punjab
7015,MALIK PETROLEUM SERVICE,"Mouza Shadia (Janobi), 32-33 From MianwaliOn Sargodha-Mianwali Road, Mianwali",Mianwali,128.93,118.27,MIANWALI,MIANWALI,Punjab,Punjab
7532,IQRA FILLING STATION,PIPPLAN ROAD,MIANWALI,128.19,117.53,MIANWALI,MIANWALI,Punjab,Punjab
7599,KOT CHANDNA FILLING STATION,MIANWALI BANNU ROAD,MIANWALI,128.55,117.89,MIANWALI,MIANWALI,Punjab,Punjab
7629,M M ROAD JANI 1 FILLING STATION,MINWALI MULTAN ROAD,MIANWALI,127.97,117.32,MIANWALI,MIANWALI,Punjab,Punjab
7668,MIANWALI FILLING STATION,SARGODHA ROAD,MIANWALI,128.19,117.53,MIANWALI,MIANWALI,Punjab,Punjab
7701,MUSTAL FILLING STATION,MIANWALI TALAGANG ROAD,MIANWALI,128.65,117.99,MIANWALI,MIANWALI,Punjab,KPK
7725,NEW EISSA KHEL PETROLEUM SERVICE,SARGODHA ROAD,MIANWALI,128.47,117.81,MIANWALI,MIANWALI,Punjab,KPK
7782,QAMAR MASHANI FILLING STATION,MIANWALI BANNU ROAD,MIANWALI,128.68,118.02,MIANWALI,MIANWALI,Punjab,KPK
7962,TALAGANG ROAD JANI 2 FILLING STATIO,TALAGANG ROAD,MIANWALI,128.24,117.58,MIANWALI,MIANWALI,Punjab,KPK
7981,TRUG FILLING STATION,MIANWALI BANNU ROAD,MIANWALI,128.57,117.91,MIANWALI,MIANWALI,Punjab,KPK
8015,ZIA PETROLEUM SERVICE,DAUD KHEL BANNU ROAD,MIANWALI,128.24,117.58,MIANWALI,MIANWALI,Punjab,KPK
9223,BADSHA PETROLEUM,KHAWAJABAD SHARIF MOUZA MOUCHH,MIANWALI,89.25,79.73,MIANWALI,MIANWALI,Punjab,KPK
3645,NAEEM F/S.,MM ROAD NEAR KUNDIAN CHOWK,,127.75,117.09,MIANWALI,MIANWALI,Punjab,KPK
3651,PAEC GOUNDATION F/S.,DISTT MIANWALI,,127.75,117.09,MIANWALI,MIANWALI,Punjab,KPK
147,DEWAN PETROLEUM SERVICE,"Mouza Mohammad Pur, B/W KM 44-45, Bahawal Nagar-Minchanabad, Teh. Minchanabad",Minchanabad,87.13,78.52,MINCHINABAD,MINCHINABAD,Punjab,KPK
229,KAHKASHAN PETROLEUM SERVICE,"Mouza Breaka Ottar, B/W KM 8-9 From Sulmanki, Tehsil Minchanabad Distt. Bahawal Nagar",Minchanabad,87.20,78.59,MINCHINABAD,MINCHINABAD,Punjab,KPK
6953,KAHKASHAN PETROLEUM SERVICE,Head Sulemanki road Minchanabad Distt Bahawalnagar,Minchanabad,128.53,117.87,MINCHINABAD,MINCHINABAD,Punjab,KPK
7071,NEW CHAUDHARY FILLING STATION,Minchanabad city Distt Bahawalnagar,Minchanabad,128.28,117.62,MINCHINABAD,MINCHINABAD,Punjab,KPK
6615,MANZOOR P/S,MOUZA GANAISHPURA MINCHINABAD,,128.16,117.50,MINCHINABAD,MINCHINABAD,Punjab,KPK
5371,AMAN KHETRAN P/S.(EX: SHAHROZ F/S.),ON MUZAFARGARH- D.G.KHAN ROAD AT MAUZA KOTLA SIKHANI GHARBI.,,127.75,117.09,MULTAN,MULTAN,Punjab,KPK
5404,ZAKARIA PET SERVICE,SHUJ/JALALPUR/PIRWALRDMAUZA MOHANPUR GHARBIMULTAN,,127.75,117.09,MULTAN,MULTAN,Punjab,KPK
7872,SHELL AL MEHMOOD FS,LMQ ROAD KHANEWAL ROAD,KABIRWALA,127.85,117.19,Multan,Multan,Punjab,KPK
9050,SH KHALID MAHMOOD SONS,JHANG ROAD,KABIRWALA,87.84,78.45,Multan,Multan,Punjab,KPK
9397,ALI PETROLEUM SERVICE,"KM NO. 2/3 FROM KABIRWALA, ON PAKISTAN HIGHWAY, MULTAN KABIRWALA RD, MOULAPUR,TEHSIL KABIRWALA, DIST KHANEWAL",Kabirwala,87.65,78.28,Multan,Multan,Punjab,KPK
5362,LUCKY STAR,AT 4-KM MULTAN ROAD KABIRWALA,,127.75,117.09,Multan,Multan,Punjab,KPK
5388,AL HASEEB,ON KABIRWALA JHANG ROAD AT KABIRWALA,,127.83,117.17,Multan,Multan,Punjab,KPK
1643,WAZIR PETROLEUM SERVICE,"Moza Chopar Hatta, Jhng-Kbrwala-Mtn Rd., Kbrwala, Mltn",,127.94,117.28,Multan,Multan,Punjab,KPK
9478,Wazir Petroleum Services,"Moza Chopar Hatta, Jhng-Kbrwala-Mtn Rd., Kbrwala, Mltn",VEHARI,73.09,64.84,Multan,Multan,Punjab,KPK
5441,RANA AFZAL PET.SERVICE,KM 970 ON N.H.WAY MLT.TEHSIL KABIRWALAKHANEWAL,,127.80,117.14,Multan,Multan,Punjab,KPK
593,MODERN FUELS,"Pir Khursheed Colony Rd. Chungi No. 08, Multan,Multan",MULTAN,84.99,96.35,MULTAN,MULTAN,Punjab,KPK
688,IMRAN GASOLINE SERVICE,"Near Coca Cola Factory, Vehari Road, Multan,MULTAN",MULTAN,84.99,96.34,MULTAN,MULTAN,Punjab,KPK
751,MALIK PETROLEUM,"Multan Road, Melsi,MAILSI",MAILSI,84.94,96.29,MULTAN,MULTAN,Punjab,KPK
776,MUGHAL BROTHERS,"Bosan Road, Chungi No. 06, Multan,MULTAN",MULTAN,85.05,96.41,MULTAN,MULTAN,Punjab,KPK
879,SHADI KHEL PETROLEUM SERVICE,"Bypass, Sher Shah Rd. Hamidpur, Taraili, Multan,MULTAN",MULTAN,84.94,96.29,MULTAN,MULTAN,Punjab,KPK
896,SHUJABAD GASOLINE,"Purana Multan Road, Near Chowk Fawara, Shujabad.,SHUJAABAD",SHUJAABAD,85.02,96.38,MULTAN,MULTAN,Punjab,KPK
919,SULTAN PETROLEUM SERVICE,"Kehror Pakka, Mailsi Rd. Adda Aaray Wahan,MAILSI",MAILSI,84.94,96.29,MULTAN,MULTAN,Punjab,KPK
960,AL-WAHEED FILLING STATION,"Riazabad Station, Moza Loother, Qadirpur Rawana",Qadirpur,85.09,96.45,MULTAN,MULTAN,Punjab,KPK
1187,Ameer Karam PET,"At  Mouza  Kot  Marah,  On  Multan  – Nawabpur  Road in  K.M No.  8-9 (8.9  km from O/Post # 7),Tehsil SADDAR, District MULTAN .",,127.60,116.94,MULTAN,MULTAN,Punjab,KPK
1188,Babar P/S,"At Mouza Piranghaib, On Multan – Piranghaib - Tatypur Road, Tehsil & District Multan.",,127.52,116.86,MULTAN,MULTAN,Punjab,KPK
1189,FAISAL AMIN PET,AT PLOT KHASRA NO. 56/17 KHATA NO. 65 KM NO. 4/5 ON KARAMDAD QURESHI DAIRA DIN PANNAH ROAD AT MOUZA PANWAR JANOBOWALA MUZAFFARGARH,,127.52,116.86,MULTAN,MULTAN,Punjab,KPK
1190,BISMILLAH PET,IN BETWEEN KM NO. 2/3 ON MULTAN BOSAN ROAD AT MOUZA NEEL KOT DISTT MULTAN,,127.70,117.04,MULTAN,MULTAN,Punjab,KPK
1191,Ehsan & Brothers F/S,"CNG / Petrol Pump, At Mouza Taraf Rawan, 500-Meteer From Vehari Chowk, On Bahawalpur By Pass Road,",,127.75,117.09,MULTAN,MULTAN,Punjab,KPK
1192,Al-Wahid Filling Station,Qadar pur Rawan,,127.76,117.10,MULTAN,MULTAN,Punjab,KPK
1193,New Chistian Filling Station,Budhla Sant,,127.78,117.12,MULTAN,MULTAN,Punjab,KPK
1194,ELAHI PETROLEUM,"400 FEET FROM ADDA CHOTI JHOKE VEENS, ATM MOUZA ILAMPUR TEHSIL & DISTT MULTAN",,127.78,117.12,MULTAN,MULTAN,Punjab,KPK
1195,AL FALAH PET,IN KM NO. 3/4 FROM ADDA RIAZABAD ON RIAZABAD SHAMKOT ROAD MULTAN,,127.84,117.18,MULTAN,MULTAN,Punjab,KPK
1196,AL HAMD P/S,"At Mouza Jangal Abdullah Shah, On Multan – Matital Nawan Sheher Road in B/W 1- 20 (19.9- km from Khanewal Road),Tehsil & District MULTAN .",,127.87,117.21,MULTAN,MULTAN,Punjab,KPK
1536,HAMZA CNG & FILLING STATION,ON MAIN KHANEWAL ROAD AT MOUZA JUMA KHALSA TEHSIL & DISTRICT MULTAN,,127.68,117.02,MULTAN,MULTAN,Punjab,KPK
1580,KHAWAJA AND COMPANY P/S,Sher Shah By pass Mouza Samorana Multan,,127.68,117.02,MULTAN,MULTAN,Punjab,KPK
1582,MAASHAALLAH FILLING STATION (MULTAN),"Shamasabad Colony, Eid Gah Road, Multan",,127.68,117.02,MULTAN,MULTAN,Punjab,KPK
1588,QAISRANI FILLING STATION,AT MOUZA KOTLA WARIS SHAH ON SURAJ MIANI TEHSIL & DISTT MULTAN,,127.74,117.08,MULTAN,MULTAN,Punjab,KPK
1591,SHADI KHAIL FILLING STATION,"AT MOUZA QADIR PUR LAR ON NATIONAL HIGHWAY (N-5) BHAWALPUR, ROAD TEHSIL SADDAR DIS",,127.77,117.11,MULTAN,MULTAN,Punjab,KPK
1592,SHAHEEN PETROLEUM SERVICE,"Nawan Shahar, Bakarpur Tehsil & Distt Mulltan",,127.80,117.14,MULTAN,MULTAN,Punjab,KPK
1598,BABAR - ONE PETROLEUM SERVICE,"ON CANTT CANAL BOUEVARD ROAD, GARDEN TOWN TO QASIM BAILA - HEAD MUHAMMAD WALA",,127.68,117.02,MULTAN,MULTAN,Punjab,KPK
1599,WAQAS PETROLEUM SERVICE - MULTAN SADDAR,ON RIAZABAD TO TATAYPUR ROAD AT MOUZA TATAYPUR TEHSIL MULTAN SADDAR,,127.74,117.08,MULTAN,MULTAN,Punjab,KPK
1717,AHSAN PETROLEUM SERVICES,"Kot Rab Nawaz, Vehari Road Multan",,127.80,117.14,MULTAN,MULTAN,Punjab,KPK
1723,AKRAM FILLING STATION,Adda Matital Sarasad Road Multan,,127.80,117.14,MULTAN,MULTAN,Punjab,KPK
1742,AL QURAISH FILLING STATION,Qadirpur Mian National Highway Multan,,127.80,117.14,MULTAN,MULTAN,Punjab,KPK
1744,AL REHMAN CNG FILLING STATION,"Vehari Road, Pull 114/ 10.R, Tahsil Jahaniyan, Dist Khanawal",,127.80,117.14,MULTAN,MULTAN,Punjab,KPK
1807,CHAUDHRY FILLING STATION,"Basti Maluk Dunyapur Road, Basti Maluk, Near (Bahawalpur ‐ Multan National Highway).",,128.05,117.40,MULTAN,MULTAN,Punjab,KPK
1865,INSHAF WAZIRISTAN PETROLEUM SERVICE,"9 KM FROM CHOWK SERWAR SHAHEE, TEHSDHORI ADDA",,128.25,117.59,MULTAN,MULTAN,Punjab,KPK
1939,MS BROTHERS FILLING STATION,"Multan to Bosan Road, Near Citi Housing Society, Lutfabad, Multan",,127.80,117.14,MULTAN,MULTAN,Punjab,KPK
1940,MUHAMMAD KHAN & CO. FILLING STATION,Chowk Kumara Wala Khanewal Road Multan,,127.80,117.14,MULTAN,MULTAN,Punjab,KPK
2028,SHAN FILLING STATION,"Near Miani Rest House, Budhla Road, Mouza Kot Rab Nawaz, Multan",,127.80,117.14,MULTAN,MULTAN,Punjab,KPK
2056,TAYYAB PETROLEUM SERVICE,"16‐E, Officers Colony Bosan Road Multan",,127.80,117.14,MULTAN,MULTAN,Punjab,KPK
2127,MORKEEN FILLING STATION,,,127.80,117.06,MULTAN,MULTAN,Punjab,KPK
2131,Al-HAFIZ FILLING STSTAION,,,128.05,117.31,MULTAN,MULTAN,Punjab,KPK
2133,AHMED PETROLEUM,KM 20-21 MULTAN DUNIYANPUR ROAD TEHSIL & DISTRICT MULTAN,,127.85,117.20,MULTAN,MULTAN,Punjab,KPK
2177,GHAFFAR PAETROLEUM,MULTAN VEHARI ROAD B/W KM 674-675 OF DEHLI MULTAN ROAD TEHSIL & DISTT: MULTAN,,127.80,117.15,MULTAN,MULTAN,Punjab,KPK
2210,KHAWAJA PETROLEUM,46 KM FROM MULTAN ON MULTAN SHUJABAD LAR ROAD TEHSIL SHUJABAD DISTRICT MULTAN,,127.95,117.30,MULTAN,MULTAN,Punjab,KPK
2239,FAISAL PETROLEUM,BOSAN ROAD MULTAN 2 KM FROM BZU MULTAN TEHSIL MULTAN SADDAR DISTRICT MULTAN,,127.90,117.20,MULTAN,MULTAN,Punjab,KPK
2241,ALI RAZA CNG F/S,KHANEWAL ROAD MULTAN CITY TEHSIL AND DISTRICT MULTAN,,127.80,117.15,MULTAN,MULTAN,Punjab,KPK
2251,MALIK BROTHERS,"MOUZA PUNJANI,TEHSIL SHUJABAD DISTRICT MULTAN ON JALALPUR MULTAN ROAD",,128.10,117.40,MULTAN,MULTAN,Punjab,KPK
2292,AL-REHMAN CNG STATION(MULTAN CITY,WATER WORKS ROAD MULTAN PROPERTY NO. 2396/BC TEHSIL AND DISTRICT MULTAN,,127.80,117.15,MULTAN,MULTAN,Punjab,KPK
2337,MADNI PETROLEUM,KM NO. 11 DUNIYAPUR ROAD TEHSIL & DISTRICT MULTAN,,127.85,117.15,MULTAN,MULTAN,Punjab,KPK
2354,HAJI SAFDAR DHOL P/S,MATITAL ROAD MULTAN TEHSIL SADAR DISTRICT MULTAN,,128.00,117.35,MULTAN,MULTAN,Punjab,KPK
2359,MRS P/S,"BABAR CHOWK ON SOUTHERN BYE PASS, MULTAN",,127.80,117.15,MULTAN,MULTAN,Punjab,KPK
2370,GUJJAR P/S,"BUDHLA SANT-KOT GUNJAN ROAD, MULTAN.",,127.90,117.25,MULTAN,MULTAN,Punjab,KPK
2374,CRYSTAL CNG,IN B/W KM 949+400 OF N-5 AT QADIRPUR RAAN TEHSIL & DISTRICT MULTAN,,127.90,117.25,MULTAN,MULTAN,Punjab,KPK
2379,AL-SADIQ P/S,"ON MULTAN-SHUJABAD ROAD, MULTAN",,127.85,117.20,MULTAN,MULTAN,Punjab,KPK
2380,AL-BARKAT P/S,"KM NO. 12 ON MULTAN-BODLA ROAD, MOUZA DOGRANA, DISTRICT MULTAN",,127.90,117.25,MULTAN,MULTAN,Punjab,KPK
2398,FARRUKH P/S,"AT MOUZA FATWALPUR, ON MULTAN-SHUJABAD ROAD, MULTAN",,127.75,117.10,MULTAN,MULTAN,Punjab,KPK
2516,BHATTI BRO'S,"MOUZA KHAN BELA , TEHSIL JALALPUR PIRWALA, MULTAN.",,128.20,117.55,MULTAN,MULTAN,Punjab,KPK
2535,Dubai FS,"Mouza Taraf Daira, Tehsil & District Multan.",,127.75,117.05,MULTAN,MULTAN,Punjab,KPK
2538,RAO BILAL P/S,"KM 03 FROM BASTI MALOOK SHUJABAD ROAD , MULTAN",,128.05,117.35,MULTAN,MULTAN,Punjab,KPK
2540,MEHBOOB F/S,"SHUJABAD-LAR ROAD, MULTAN",,127.90,117.25,MULTAN,MULTAN,Punjab,KPK
2566,KHAWAJA FS,"AT MOUZA JALALPUR PIRWALA, TEHSIL JALALPUR PIRWALA DISTRICT MULTAN.",,128.05,117.40,MULTAN,MULTAN,Punjab,KPK
2570,SUPER MRS P/S,"0.8 KM MULTAN-DUNIYAPUR ROAD,MULTAN.",,127.75,117.05,MULTAN,MULTAN,Punjab,KPK
2573,BISMILLAH P/S,"MULTAN BAHAWALPUR ROAD ,MULTAN",,127.75,117.05,MULTAN,MULTAN,Punjab,KPK
2574,Allah Tawakal CNG F/S,1 KM from Vehari Chowk on Multan Vehari Road Multan City Tehsil & District Multan,,127.80,117.15,MULTAN,MULTAN,Punjab,KPK
2601,BEST VALUE II P/S,"MULTAN JALALPUR PIRWALA ROAD,MULTAN",,127.95,117.30,MULTAN,MULTAN,Punjab,KPK
2659,IQBAL PS,"MOUZA BASTI MITHO GHSRBI ON JSLSLPUR DHUJSBSD ROAD,SHUJABAD, MULTAN.",,127.80,117.15,MULTAN,MULTAN,Punjab,KPK
2974,City Gas,"Mouza Taraf Juma Khalsa Opp Caltex Pump,Near Daewoo Terminal Khanewal Road Multan",Multan,127.75,117.09,MULTAN,MULTAN,Punjab,KPK
2975,City CNG & F/s.,Multan City,Multan,127.89,117.23,MULTAN,MULTAN,Punjab,KPK
2976,Ahmed Buksh,Multan City,Multan,127.80,117.14,MULTAN,MULTAN,Punjab,KPK
2977,AL-Hafeez Gasoline,Shahr-e-Rashid (VHR Road) MXC City (CXT SITE),Multan,127.75,117.09,MULTAN,MULTAN,Punjab,KPK
2978,Shujaabad CNG Station,"Near Canal Bridge Railway Road, Shujabad , Multan",Multan,127.78,117.12,MULTAN,MULTAN,Punjab,KPK
2979,Auto Pick CNG,Multan City,Multan,127.78,117.12,MULTAN,MULTAN,Punjab,KPK
2980,Bestway Filling Station,"Bahawalpur Chowk, Multan",Multan,127.81,117.15,MULTAN,MULTAN,Punjab,KPK
2981,Ahmed Hassan F/s.,Muzaffargarh Multan.,Multan,127.75,117.09,MULTAN,MULTAN,Punjab,KPK
2982,Al-Rehman CNG & F/s.,Muzaffargarh Multan.,Multan,127.75,117.09,MULTAN,MULTAN,Punjab,KPK
2983,Al-Saleh F/s.,Multan City Site,Multan,127.76,117.10,MULTAN,MULTAN,Punjab,KPK
2984,Polwel Filling Station,"MDA Katchey chowk police line, Multan city",Multan,127.84,117.18,MULTAN,MULTAN,Punjab,KPK
2985,Faizan Filling Station,M.A Jinnah Road Multan,Multan,127.86,117.20,MULTAN,MULTAN,Punjab,KPK
2986,S.Murtaza Gasoline,Nadrabad Phatak Sher shah Road Multan,Multan,127.75,117.09,MULTAN,MULTAN,Punjab,KPK
2987,Barrage Way Fs,Pattal Kot Addu Mustaqil Gharbi,Multan,127.75,117.09,MULTAN,MULTAN,Punjab,KPK
2988,Translink F/s,"Multan Road at Head M. Wla, Muzaffargarh",Multan,127.75,117.09,MULTAN,MULTAN,Punjab,KPK
2989,RAVI PETROLEUM SERVICES,Multan City,Multan,127.98,117.32,MULTAN,MULTAN,Punjab,KPK
2990,PARADISE P/S,Multan City,Multan,127.78,117.12,MULTAN,MULTAN,Punjab,KPK
2991,Ellahi Gases,Multan City Site,Multan,127.77,117.11,MULTAN,MULTAN,Punjab,KPK
3243,SAADI PET SERVICE,KHANEWAL-LODHRAN RD866MAUZA RUKKANPURMULTAN,,128.04,117.38,MULTAN,MULTAN,Punjab,KPK
3249,AL-MAHMOOD GASOLINE,KM NO.53 OF KHANEWAL-LODHRAN ROAD AT MOUZAQADIR PU,,127.75,117.09,MULTAN,MULTAN,Punjab,KPK
3324,SARWAR KHURSHID P/SER,MAUZA KHANPURMULTAN,,127.93,117.27,MULTAN,MULTAN,Punjab,KPK
3329,WAHEED P/S,CHOWK PEMITMAUZA SUMRANATIONAL H/W MULTAN,,127.84,117.18,MULTAN,MULTAN,Punjab,KPK
3330,NADEEM PET SERVICE,BASTI MALUKCHAK-3570WB LODHRANMULTAN,,127.75,117.09,MULTAN,MULTAN,Punjab,KPK
3462,AL FARID,DUNYPUR-KAROPACCA ROADALI PUR KANJOO MULTAN,,128.02,117.36,MULTAN,MULTAN,Punjab,KPK
8098,Al Razzaq Filling Station,Total Parco Retail Station Vehir Road Near Hoor Banaspati Multan,Multan,127.80,117.10,MULTAN,MULTAN,Punjab,KPK
8109,Blessing Filling Station,"Khaniwal Road, Multan Exit, near khad factory Multan",Multan,127.90,117.20,MULTAN,MULTAN,Punjab,KPK
8115,Crystal Filling Station,"10 B, Officers Colony, Multan.",Multan,127.90,117.20,MULTAN,MULTAN,Punjab,KPK
8120,Green Plus CNG Filling Station,"Near Kikar Stop, opposite Nadra Head quarter shah ruknealam colony, Main General Bus stand road, Multan",Multan,127.90,117.20,MULTAN,MULTAN,Punjab,KPK
8121,Hassan Filling Station,"W alayatabad Colony, Near Naz Cinema Vehari Road, Multan.",Multan,127.80,117.10,MULTAN,MULTAN,Punjab,KPK
8135,Mairaj Filling Station,"Mehmoodabad Colony Khanewal Road, Multan",Multan,127.90,117.20,MULTAN,MULTAN,Punjab,KPK
8138,Meezan Filling Station,"Bhawalpur Bypass (Ram Kali), Multan.",Multan,127.80,117.10,MULTAN,MULTAN,Punjab,KPK
8147,Red Clay Filling Station,"2 Nusrat Road, Multan Cantt.",Multan,127.80,117.10,MULTAN,MULTAN,Punjab,KPK
8157,Sitara-e-Hilal Filling Station,Chak No 79/10 Main National Highway Pirowal Tehsil & District Khanewal,Pirowal,128.10,117.50,MULTAN,MULTAN,Punjab,KPK
8160,Super Meezan Filling Station,"Qitt1 No. 5 (Salam Khatta), In between 19-20km, from Multan, Mouza Sher Shah, Tehsil & District, , Multan",Multan,127.80,117.10,MULTAN,MULTAN,Punjab,KPK
8380,MODERN FUELS,"Pir Khursheed Colony Rd. Chungi No. 08, Multan,Multan",MULTAN,127.80,117.10,MULTAN,MULTAN,Punjab,KPK
8471,IMRAN GASOLINE SERVICE,"Near Coca Cola Factory, Vehari Road, Multan,MULTAN",MULTAN,127.80,117.10,MULTAN,MULTAN,Punjab,KPK
8529,MALIK PETROLEUM,"Multan Road, Melsi,MAILSI",MAILSI,127.80,117.10,MULTAN,MULTAN,Punjab,KPK
8552,MUGHAL BROTHERS,"Bosan Road, Chungi No. 06, Multan,MULTAN",MULTAN,127.90,117.20,MULTAN,MULTAN,Punjab,KPK
8645,SHADI KHEL PETROLEUM SERVICE,"Bypass, Sher Shah Rd. Hamidpur, Taraili, Multan,MULTAN",MULTAN,127.80,117.10,MULTAN,MULTAN,Punjab,KPK
8662,SHUJABAD GASOLINE,"Purana Multan Road, Near Chowk Fawara, Shujabad.,SHUJAABAD",SHUJAABAD,127.80,117.20,MULTAN,MULTAN,Punjab,KPK
8685,SULTAN PETROLEUM SERVICE,"Kehror Pakka, Mailsi Rd. Adda Aaray W ahan,MAILSI",MAILSI,127.80,117.10,MULTAN,MULTAN,Punjab,KPK
8724,AL-W AHEED FILLING STATION,"Riazabad Station, Moza Loother, Qadirpur Rawana",Qadirpur,127.90,117.30,MULTAN,MULTAN,Punjab,KPK
8747,Sapphire Filling Station,"0.1km From Sayedan wala Chowk, Northren Bypass, Multan",MULTAN,127.90,117.20,MULTAN,MULTAN,Punjab,KPK
8777,Al Mustaqeem Filling Station,"Mukhdoom Rasheed, Multan-vehari Road,",MULTAN,127.80,117.20,MULTAN,MULTAN,Punjab,KPK
8778,AMG Filling Station,"Multan Bahawalpur Road,Adda Lar,",MULTAN,128.00,117.30,MULTAN,MULTAN,Punjab,KPK
8839,AL YOUSIF FILLING STATION,"MOZA SOJANPUR ,MULTAN",,127.74,117.08,MULTAN,MULTAN,Punjab,KPK
8840,MALIK SON'S,"MOUZA JAHANPUR SOLODI,MULTAN",,128.11,117.45,MULTAN,MULTAN,Punjab,KPK
9523,MaashaAllah F/S,"Shamasabad Colony, Eid Gah Road, Multan",MCR,72.86,64.61,MULTAN,MULTAN,Punjab,KPK
9977,Al Hamd Petroleum Service Multan,,Multan,127.75,117.09,MULTAN,MULTAN,Punjab,KPK
9978,Al-Hamd CNG & Filling Station Multan City,,Multan,127.84,117.18,MULTAN,MULTAN,Punjab,KPK
9979,Al-Quresh CNG & Filling Station Kot Addu City,,Multan,127.75,117.09,MULTAN,MULTAN,Punjab,KPK
9980,Ali Abbas Petroleum Service Multan,,Multan,127.75,117.09,MULTAN,MULTAN,Punjab,KPK
9981,Askari 12 F/s (Askari CNG Project) Multan,,Multan,127.78,117.12,MULTAN,MULTAN,Punjab,KPK
9982,Bahawal Filling Station Multan,,Multan,127.83,117.17,MULTAN,MULTAN,Punjab,KPK
9983,City Fuelers Multan,,Multan,127.79,117.13,MULTAN,MULTAN,Punjab,KPK
9984,Faran Petroleum Services Multan,,Multan,127.75,117.09,MULTAN,MULTAN,Punjab,KPK
9985,Fit Petroleum Station Multan,,Multan,127.76,117.10,MULTAN,MULTAN,Punjab,KPK
9986,Mian Petroleum & CNG Filling Station Multan,,Multan,127.81,117.15,MULTAN,MULTAN,Punjab,KPK
9987,Moon Light Filling Station Multan City,,Multan,127.84,117.18,MULTAN,MULTAN,Punjab,KPK
9988,Muhammadi CNG & Filling Station Multan,,Multan,127.79,117.13,MULTAN,MULTAN,Punjab,KPK
9989,Noor Filling Station Multan City,,Multan,127.83,117.17,MULTAN,MULTAN,Punjab,KPK
9990,Qandrani Petroleum Services Multan,,Multan,127.92,117.26,MULTAN,MULTAN,Punjab,KPK
9991,Save Filling Station Multan,,Multan,127.75,117.09,MULTAN,MULTAN,Punjab,KPK
9992,Shad Petroleum Service Shujaabad,,Multan,127.88,117.22,MULTAN,MULTAN,Punjab,Punjab
9993,Siaa Filling Station Multan City,,Multan,127.80,117.14,MULTAN,MULTAN,Punjab,Punjab
9994,Talagang Petroleum Services Vehari Chowk Multan,,Multan,127.75,117.09,MULTAN,MULTAN,Punjab,Punjab
44,AL-HASSAN FILLING STATION,"Mouza Hamid Pur Kanora, 10-11 KM on Multan - Muzaffargarh road, Tehsil Multan",Multan,86.42,77.89,MULTAN,MULTAN,Punjab,Punjab
