,,,,Pump Price Rs/ Liter,,,,,
S.No,Customer Name,Address,City/Location,HSD,PMG,District,District 1,Province,Province
130,CHAUDRY M. ASLAM FUEL & GAS,"Mouza Lahri, Dinga-Mangla-Mirpur Rd.",Mirpu A. K.,85.95,77.47,AJK,AJK,AJK,AJK
236,KASHMIR FILLING STATION,"Mouza Islamgarh, B/W 30-31Km from Mirpur, Mirpur / Kotli Road, Dist. Mirpur Azad Kashmir",Mirpu A. K.,85.95,77.47,AJK,AJK,AJK,AJK
327,NEW ALI FILLING STATION (AJK),"Mouza NAR (Near Telephone Exchange) on Kotli Road, Tehsil & Distt. Kotli Azad Kashmir",Mirpu A. K.,85.95,77.47,AJK,AJK,AJK,AJK
389,SAEED PETROLEUM SERVICE,"Mouza Hamidabad, chak Bawar, Dist. Mir Pur Azad Kashmir",Mirpu A. K.,85.95,77.47,AJK,AJK,AJK,AJK
6843,CHAUDRY M. ASLAM FUEL & GAS,"Mouza Lahri, Dinga-Mangla-Mirpur Rd.",Mirpu A. K.,127.77,117.11,AJK,AJK,AJK,AJK
6961,KASHMIR FILLING STATION,"Mouza Islamgarh, B/W 30-31Km from MirpurMirpur / Kotli Road",Mirpu A. K.,127.26,116.6,AJK,AJK,AJK,AJK
7066,NEW ALI FILLING STATION (AJK),Mouza NAR (Near Telephone Exchange) on Kotli Rd,Mirpu A. K.,127.26,116.6,AJK,AJK,AJK,AJK
7143,SAEED PETROLEUM SERVICE,"Mouza Hamidabad, chak Bawar, Dist. Mir Pur Azad Ka",Mirpu A. K.,127.26,116.6,AJK,AJK,AJK,AJK
9172,THARPARKAR FILLING STATION,"PLOT 96T099 SAMANABAD, KHIPRO CHOWK",MIRPUKHAS,88.57,79.11,AJK,AJK,AJK,AJK
527,AL-MASOOD PETROLEUM,BAHALOTE CHOWK-DADAYAL,DADIYAL,84.51,95.83,AJK,AJK,AJK,AJK
538,AL-SERAJ PETROLEUM,"MAIN KOTLI ROAD,",MIRPUR,84.51,95.83,AJK,AJK,AJK,AJK
712,KASHMIR PETROLEUM,"DINA MANGLA ROAD, JATNA",MIRPUR,84.51,95.83,AJK,AJK,AJK,AJK
1184,Najeeb F/S,"At Mouza Khanda More, 39-K.M From Mirpur, On Kotli-Mirpur Road,",,127.26,116.60,AJK,AJK,AJK,AJK
1185,CH. RIAZ & IQBAL F/S,"At Mouza Taki, in Khasra No.291, On Jatna Mangla Road, Tehsil & District MIRPUR (A.J.K).",,127.26,116.60,AJK,AJK,AJK,AJK
1706,AAHAD BROS FILLING STATION,"Y Cross , Kotli Road , Mirpur City , Ajk",,127.26,116.60,AJK,AJK,AJK,AJK
1788,BANGYAL FILLING STATION,Khewat No. 1/1 Khatooni No.2968/2880 Khasra No. 4077 situated at Mouza Sokhain Thesil & Distt Mirpur,,127.26,116.60,AJK,AJK,AJK,AJK
2078,ZAHID FILLING STATION,Jatalan Mirpur Azad Kashmir,,127.26,116.60,AJK,AJK,AJK,AJK
8320,AL-MASOOD  PETROLEUM,BAHALOTE  CHOW K-DADAYAL,DADIYAL,127.30,116.60,AJK,AJK,AJK,AJK
8331,AL-SERAJ  PETROLEUM,"MAIN KOTLI ROAD,",MIRPUR,127.30,116.60,AJK,AJK,AJK,AJK
8494,KASHMIR PETROLEUM,"DINA MANGLA ROAD, JATNA",MIRPUR,127.30,116.60,AJK,AJK,AJK,AJK
9970,Askari 3 F/s Mirpur City (Askari CNG Project),,Mirpur,127.26,116.60,AJK,AJK,AJK,AJK
9971,Chaudhry Ayub Filling Station Dadyal,,Dadyal,127.26,116.60,AJK,AJK,AJK,AJK
9972,Hassan Petroleum Service Kotli Road Mirpur (AJK),,Mirpur,127.26,116.60,AJK,AJK,AJK,AJK
9973,Sultania Petroleum Services Dadyal,,Dadyal,127.26,116.60,AJK,AJK,AJK,AJK
9974,Younis Filling Station Chakswari,,Chaksawari,127.26,116.60,AJK,AJK,AJK,AJK
6731,AL SAIF PETROELUM SERVICES,"Mouza Sunkyah B/W, KM 39/40 Lien Jhelum On Mirpur Chichian Road, Tehsil",Mirpur,127.26,116.6,AJK,AJK,AJK,AJK
7335,AZAD FILLING STATION,QUAIDEAZAM STADIUM ROAD,MIRPUR,127.26,116.60,AJK,AJK,AJK,AJK
7399,CROWN FILLING STATION,35 ALLAMA IQBAL ROAD,MIRPUR,127.26,116.60,AJK,AJK,AJK,AJK
7406,DADYAL FILLING STATION,AMBH ROAD,MIRPUR,127.26,116.60,AJK,AJK,AJK,AJK
7587,KHARHI SHARIF FUEL STATION,MAIN ROAD CHECHIAN,MIRPUR,127.26,116.60,AJK,AJK,AJK,AJK
7994,USMAN FILLING STATION,MIRPUR ROAD,MIRPUR,127.26,116.60,AJK,AJK,AJK,AJK
9082,KASHMIR CALTEX PETROLEUM,"DINA MANGLA ROAD,",MIRPUR,87.11,77.79,AJK,AJK,AJK,AJK
4575,KHAWAJA ABDUL HAYEE &,SONS DINA-MANGLA-MIRPUR ROADMANGLA MIRPUR,,127.75,117.09,AJK,AJK,AJK,AJK
4613,BISMILLAH F/S.,KOTLI SARSAWA DISTT MIRPUR,,127.26,116.60,AJK,AJK,AJK,AJK
9330,AL-SERAJ PETROLEUM,"MAIN KOTLI ROAD,",MIRPUR A.K.,87.11,77.79,AJK,AJK,AJK,AJK
270,MADINA PETROLEUM SERVICE,Mouza Suri Chaullian. Hattian Bala,Muzaffar Abad AJK,85.95,77.47,AJK,AJK,AJK,AJK
7001,MADINA PETROLEUM SERVICE,"Mouza Suri Hattian Bala, Distt Azad KashmirMuzaffar Abad",Muzaffar Abad AJK,127.26,116.6,AJK,AJK,AJK,AJK
582,BARNALA PETROLEUM,BHIMBER BARNALA ROAD,BARNALA,84.51,95.83,BHIMBER,BHIMBER,AJK,AJK
1012,CH.RIAZ AHMAD & SONS,"At Mouza Kasguma, On Bhimer – Chaksawari Road, Tehsil & District BHIMER.",,127.51,116.85,BHIMBER,BHIMBER,AJK,AJK
1868,ISHTIAQ FILLING STATION,"Jatlan Bhimber Road , Village Sosaka , AJK",,127.26,116.60,BHIMBER,BHIMBER,AJK,AJK
2686,Asim Noor,Barnala AJK,Bhimber,127.75,117.09,BHIMBER,BHIMBER,AJK,AJK
8370,BARNALA PETROLEUM,BHIMBER BARNALA ROAD,BARNALA,127.30,116.60,BHIMBER,BHIMBER,AJK,AJK
9613,Barnala Filling Station Barnala,,Barnala,127.26,116.60,BHIMBER,BHIMBER,AJK,AJK
7115,Raj CO Petroleum,"Khasra No.379, at Mouza Ghahi at KM 0/1, From Samahni on Bhimber/Samahni Road Tehsil Samahni Districyt Bhimber",,127.75,117.09,BHIMBER,BHIMBER,AJK,AJK
2598,MOHSIN PS,Hattian Bala Tehsil & District Hattian Bala,,128.65,118.00,HATTIAN BALA,HATTIAN BALA,AJK,AJK
208,I.S. BROTHERS FILLING SATATION,"Mouza Olakar, Tehsil & Dist. Kotli - Azad Kashmir",Olakar - Kotli,85.95,77.47,Kotli,Kotli,AJK,AJK
6930,I.S. BROTHERS FILLING SATATION,"Mouza Olakar, Tehsil & Dist. Kotli - Azad Kashmir",Olakar - Kotli,127.26,116.6,Kotli,Kotli,AJK,AJK
1198,Abbasi Filling Station,"At Mouza Budhara, On Muzafarabad Srinagar Road",,127.26,116.60,MUZAFARABAD,MUZAFARABAD,AJK,AJK
1199,AL SADDAT P/S,"At Mouza Tariqabad, On Muzaffarabad Tariqabad Pir Shanasi Bye Pass Road, 3.5-K.M From Muzaffarabad City,",,127.26,116.60,MUZAFARABAD,MUZAFARABAD,AJK,AJK
1200,SARDAR F/S,"At Mouza Punjgran, On Muzaffarabad - Neelam Valley Road, Tehsil & District MUZAFFARABAD.",,127.26,116.60,MUZAFARABAD,MUZAFARABAD,AJK,AJK
6188,B C T FILL STATION,PLOT-II LOWE CHATTA  KOHALA ROAD  MUZAFARABAD,,127.26,116.60,MUZAFARABAD,MUZAFARABAD,AJK,AJK
834,QURESHI BROTHERS,"MAIN SECTT. ROAD, MUZAFFARABAD",MUZAFFARABAD,84.51,95.83,MUZAFFARABAD,MUZAFFARABAD,AJK,AJK
2992,Sangum Petroleum,Chater Muzaffarabad City,Muzaffarabad,127.26,116.60,MUZAFFARABAD,MUZAFFARABAD,AJK,AJK
2993,Abdullah & saleemullah P/s.,Mianwali Muzaffargarh Road at Aziz chowk,Muzaffargarh,127.75,117.09,MUZAFFARABAD,MUZAFFARABAD,AJK,AJK
2994,OMER PETROLEUM (AJK),"Airport Road, Muzaffarabad AJK",Muzaffarabad,127.26,116.60,MUZAFFARABAD,MUZAFFARABAD,AJK,AJK
8191,Khudadad Filling Station,"Mouza Ambor, Kohala Road, Tehsil & Distt Muzaffarabad",Azad Kashmir,127.30,116.60,MUZAFFARABAD,MUZAFFARABAD,AJK,AJK
8209,Surgan Filling Station,"Neelam Valeey Road, Mouza Chehla Bandi, Tehsil & Distt Muzaffarabad, AJK",Azad Kashmir,127.30,116.60,MUZAFFARABAD,MUZAFFARABAD,AJK,AJK
8605,QURESHI BROTHERS,"MAIN SECTT. ROAD, MUZAFFARABAD",MUZAFFARABAD,127.30,116.60,MUZAFFARABAD,MUZAFFARABAD,AJK,AJK
9995,Balouch Petroleum Service Muzaffarabad,,Muzaffarabad,127.26,116.60,MUZAFFARABAD,MUZAFFARABAD,AJK,AJK
9996,Chaudhry Mumtaz Filling Station Muzzafarabad,,Muzaffarabad,127.26,116.60,MUZAFFARABAD,MUZAFFARABAD,AJK,AJK
9997,Gillani Petroleum Services Muzaffarabad,,Muzaffarabad,127.26,116.60,MUZAFFARABAD,MUZAFFARABAD,AJK,AJK
9998,Saadat Filling Station Kohala,,Kohala,127.26,116.60,MUZAFFARABAD,MUZAFFARABAD,AJK,AJK
6875,Farooq Petroleum,"Plot Khasra # 52 at Mouza Choon in b/w km # 19/20 from Ath Muqam/Muzaffarabad road,Loyer Plait Neelum Road, Tehsil & distt Muzaffarabad.",Muzaffarabad,128.44,117.78,MUZAFFARABAD,MUZAFFARABAD,AJK,AJK
9101,QURESHI BROTHERS,"MAIN SECTT. ROAD, MUZAFFARABAD",MUZAFFARABAD,87.11,77.79,MUZAFFARABAD,MUZAFFARABAD,AJK,AJK
6001,JAVED BROTHERS,KM 23 KOHALA MUZAFFARABAD  ROAD MUZAFFARABAD,,127.26,116.60,MUZAFFARABAD,MUZAFFARABAD,AJK,Punjab
6154,NASEERABAD FILL STN,MUZAFFARABAD,,127.26,116.60,MUZAFFARABAD,MUZAFFARABAD,AJK,Punjab
325,NEELUM FILLING STATION,"Kundal Shahi, Autmukam, Distt. Neelum",Neelam,85.95,77.47,Neelam,Neelam,AJK,Punjab
467,ZEESHAN PETROLEUM,"Mouza Joura B/W 19-20 Km from Authmuqam on Muzaffarabad / Authmuqam Road, Tehsil Authmuqam Dist. Neelam (Azad Kashmir)",Neelam,85.95,77.47,Neelam,Neelam,AJK,Punjab
6841,Chaudhry Haad Filling Station,"Molla Usman Ghani, Tehsil Dist Layyah",Neelam,127.75,117.09,Neelam,Neelam,AJK,Punjab
7064,NEELUM FILLING STATION,"Kundal Shahi, Autmukam, Distt. Azad Kashmir",Neelam,127.26,116.6,Neelam,Neelam,AJK,Punjab
